State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,
Kansas,72.8,73.0,80.8,75.4,73.6,73.2,71.3,66.6,70.3,70.5,64.7,62.4,-14.2%,-10.4,
Kentucky,152.1,154.4,154.7,152.4,141.9,151.2,150.0,138.8,138.0,139.3,129.8,124.6,-18.1%,-27.5,
Louisiana,208.8,220.9,225.6,229.1,212.0,224.5,227.1,215.1,206.2,203.8,206.5,210.3,0.7%,1.5,
Maine,23.5,21.6,21.3,19.4,18.7,18.3,17.8,16.1,16.8,16.9,17.1,16.6,-29.6%,-7.0,
Maryland,83.4,78.4,78.7,74.9,71.6,70.1,65.3,60.8,59.9,62.2,60.2,57.9,-30.6%,-25.5,
Massachusetts,85.9,77.7,81.0,77.9,71.4,72.8,68.9,62.7,66.5,64.6,66.5,64.5,-24.8%,-21.3,
Michigan,193.6,182.1,184.0,177.8,166.5,167.0,161.7,155.1,163.7,163.6,163.8,152.6,-21.2%,-41.0,
Minnesota,103.1,100.3,101.8,101.4,93.5,93.2,92.8,88.0,90.8,96.0,88.9,89.7,-12.9%,-13.3,
Mississippi,64.9,66.9,69.0,65.6,61.4,66.2,61.3,63.3,61.4,64.7,66.0,69.3,6.7%,4.3,
Missouri,143.5,141.5,140.5,137.3,131.5,135.4,136.0,128.4,133.8,133.3,123.9,118.3,-17.6%,-25.2,
Montana,35.5,35.6,37.1,36.3,32.8,34.7,31.8,30.6,31.9,32.4,32.3,30.6,-13.7%,-4.9,
Nebraska,44.4,45.0,45.3,47.4,48.0,50.5,52.9,51.3,54.2,52.8,51.3,48.8,9.9%,4.4,
Nevada,50.7,42.1,42.3,41.5,40.0,38.1,34.3,35.1,36.9,37.7,35.7,36.9,-27.3%,-13.8,
New Hampshire,21.6,19.7,19.5,19.0,17.3,16.8,16.4,14.8,14.5,15.2,15.4,13.8,-36.0%,-7.8,
New Jersey,130.5,123.2,130.8,128.6,111.3,115.5,115.7,105.2,108.8,114.7,113.0,111.4,-14.6%,-19.1,
New Mexico,60.0,60.5,59.6,57.1,57.9,53.8,56.2,54.3,53.7,50.6,50.7,48.7,-18.9%,-11.4,
New York,212.9,193.9,200.5,190.7,174.7,176.3,166.2,162.9,164.2,172.0,169.9,164.6,-22.7%,-48.3,
North Carolina,156.6,150.9,156.7,151.5,135.0,145.0,130.3,123.2,126.7,129.0,122.6,121.2,-22.6%,-35.4,
North Dakota,53.1,51.4,53.1,53.6,52.0,52.8,54.3,56.8,57.4,59.4,58.0,54.6,2.7%,1.5,
Ohio,275.2,267.6,271.2,264.0,238.7,250.2,238.2,218.5,232.5,234.4,215.4,207.4,-24.6%,-67.8,
Oklahoma,108.1,111.3,110.5,113.3,107.5,107.0,108.7,106.1,104.6,105.9,102.0,97.4,-9.8%,-10.6,
Oregon,41.8,40.9,44.4,43.4,41.5,41.3,37.7,37.5,39.7,38.5,38.6,38.2,-8.7%,-3.6,
Pennsylvania,283.3,277.1,279.7,271.7,246.2,257.9,250.5,240.1,249.5,249.1,232.7,218.6,-22.8%,-64.7,
Rhode Island,11.4,10.7,11.2,10.8,11.4,11.2,11.2,10.7,10.3,10.8,11.0,9.8,-13.9%,-1.6,
South Carolina,87.4,87.7,88.1,85.9,80.3,84.5,80.6,74.1,70.9,75.2,73.6,72.1,-17.5%,-15.3,
South Dakota,13.5,13.6,14.1,15.2,15.0,15.3,14.8,15.2,15.7,15.7,14.4,15.1,11.5%,1.6,
Tennessee,127.2,129.1,128.8,122.3,103.5,111.1,107.5,101.2,99.6,105.0,101.2,103.6,-18.5%,-23.6,
Texas,611.6,620.7,617.4,583.8,549.5,584.3,603.0,599.3,628.2,626.0,626.5,657.4,7.5%,45.8,
Utah,67.9,69.1,71.0,70.2,65.4,64.5,65.0,62.4,67.7,65.9,64.3,59.1,-12.9%,-8.8,
Vermont,6.9,6.8,6.6,6.0,6.3,6.0,5.9,5.6,5.8,6.0,6.2,6.0,-13.5%,-0.9,
Virginia,131.1,124.4,129.6,118.3,107.1,110.2,101.1,99.3,106.4,105.4,104.5,104.8,-20.0%,-26.3,
Washington,77.0,74.5,80.0,76.7,74.5,74.4,69.4,69.4,74.1,72.5,74.4,79.3,3.0%,2.3,
West Virginia,113.8,113.9,116.0,111.9,90.7,101.8,99.0,93.5,95.6,101.2,93.3,95.1,-16.5%,-18.8,
Wisconsin,112.3,104.2,105.9,106.4,97.3,99.6,98.7,91.6,102.1,102.4,101.1,96.1,-14.4%,-16.2,
Wyoming,64.0,64.8,67.2,67.7,64.4,65.9,64.7,67.1,69.1,66.2,64.2,61.0,-4.7%,-3.0,
United States,"5,991.6","5,912.5","6,005.2","5,815.5","5,395.6","5,591.0","5,453.6","5,242.7","5,371.8","5,419.3","5,274.1","5,189.4",-13.4%,-802.2,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
